continent, ouest, sud, est, nord
europe,-24.609375,63.352129,-13.095703,66.407955
europe,-11.250000,50.092393,1.582031,58.516652
europe,-9.580078,35.960223,-0.461426,44.134913
europe,-5.361328,38.822591,10.195313,52.241256
europe,12.744141,36.385913,25.927734,55.229023
europe,1.406250,37.996163,23.906250,66.687784
europe,-0.175781,54.977614,44.384766,70.786910
europe,-0.175781,54.977614,44.384766,70.786910
europe,18.149414,34.597042,26.147461,42.617791
europe,28.652344,51.399206,58.886719,71.244356
europe,28.081055,42.000325,48.669434,49.710273
europe,0.131836,41.310824,29.091797,58.378679
europe,20.830078,42.682435,47.109375,69.442128
europe,27.993164,40.738933,29.772949,41.963575
africa,7.031250,-35.317366,57.832031,13.325485
africa,-20.830078,3.601142,7.031250,36.013561
africa,1.450195,3.864255,11.777344,37.561997
africa,6.064453,2.021065,34.365234,33.760882
africa,33.398438,0.527336,37.089844,22.715390
africa,23.598633,14.689881,33.881836,32.249974
africa,33.376465,27.527758,34.288330,31.512996
africa,26.718750,3.973861,43.417969,12.726084
africa,30.673828,12.897489,42.934570,14.689881
africa,24.807129,12.983148,40.561523,19.683970
africa,26.762695,19.456234,37.265625,23.322080
africa,25.202637,22.776182,35.947266,26.765231
africa,24.532471,24.627045,34.233398,31.287940
asia,25.883789,31.952162,60.952148,40.413496
asia,29.047852,39.164141,50.603027,42.228517
asia,34.541016,25.720735,63.544922,37.230328
asia,37.177734,20.138470,60.073242,27.955591
asia,43.527832,12.811801,59.567871,25.641526
asia,47.724609,12.554564,148.798828,52.482780
asia,64.511719,-11.350797,129.199219,14.264383
asia,57.832031,27.683528,190.722656,76.999935
oceania,129.902344,-47.754098,181.933594,2.811371
oceania,108.632813,-46.255847,155.214844,-10.660608
north-america,-170.156250,49.553726,-25.048828,73.453473
north-america,-127.089844,67.609221,-11.953125,84.133963
north-america,-139.306641,16.888660,-49.130859,60.239811
north-america,-111.665039,7.188101,-82.309570,24.046464
north-america,-85.473633,13.838080,-64.291992,23.885838
north-america,-160.477295,18.625425,-154.588623,22.411029
south-america,-62.797852,7.580328,-56.118164,18.396230
south-america,-74.707031,-58.077876,-34.101563,15.623037
south-america,-82.573242,-16.762468,-73.784180,12.082296
